participant,session,is_correct
200,brown,0.9895833333333334
200,pink,0.8958333333333334
200,silence,0.90625
201,brown,0.9895833333333334
201,pink,0.9583333333333334
201,silence,0.9375
202,brown,0.9791666666666666
202,pink,0.9583333333333334
202,silence,1.0
203,brown,0.9791666666666666
203,pink,1.0
203,silence,0.9270833333333334
204,brown,0.9791666666666666
204,pink,1.0
204,silence,0.96875
301,brown,0.96875
301,pink,0.96875
301,silence,0.9791666666666666
302,brown,0.9375
302,pink,0.96875
302,silence,0.9791666666666666
303,brown,0.9479166666666666
303,pink,0.96875
303,silence,0.9479166666666666
304,brown,0.9895833333333334
304,pink,0.9895833333333334
304,silence,0.9895833333333334
305,brown,0.9375
305,pink,0.9583333333333334
305,silence,0.9375
306,brown,0.96875
306,pink,0.9895833333333334
306,silence,0.9166666666666666
307,brown,0.9791666666666666
307,pink,0.9895833333333334
307,silence,1.0
364109,brown,0.9895833333333334
364109,pink,0.9583333333333334
364109,silence,0.9791666666666666
