index,participant,session,rt
2,200,silence,0.6898299633017317
5,201,silence,0.6910803402158004
8,202,silence,0.7060210196171229
11,203,silence,0.5611804646905512
14,204,silence,0.7133850281500012
17,301,silence,0.5560755142857358
20,302,silence,0.6708499333332535
23,303,silence,0.6554002540521922
26,304,silence,0.49484318485007284
29,305,silence,0.6158197281238245
32,306,silence,0.5920461361112959
35,307,silence,0.5187785647071638
38,9318,silence,0.5283546999999089
41,157356,silence,0.8479879000020446
44,548792,silence,0.7477885428577012
47,588828,silence,0.6508515555554166
50,818597,silence,1.0409678749999784
53,839726,silence,0.6891369083332393
56,933098,silence,0.7343564222223399
